model,state,backend,resolution,condition,protocol,size,category_id,class_name,map50,map50_95,ar50,ar50_95,area_reference,category_name,checkpoint_sha256,evaluated_categories,gt_count,image_count,max_det
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,all,1,,0.6393158387755197,0.28174448021868814,0.9256353202951165,0.4695631807003163,original_image_pixels,person,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,8539,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,all,2,,0.9029770304597383,0.6207352635495651,0.9754703328509406,0.6977424023154849,original_image_pixels,car,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,13820,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,all,3,,0.6192251557884076,0.42575641176904083,0.8866396761133604,0.6214574898785424,original_image_pixels,bus,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,247,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,all,4,,0.41435218195521806,0.26015651073588164,0.8445040214477212,0.5286863270777481,original_image_pixels,truck,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,746,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,all,5,,0.5047853159342481,0.2240195270393853,0.9219201850780798,0.4821283979178717,original_image_pixels,motorcycle,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,3458,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,all,6,,0.1689307305658189,0.07375465277784649,0.82,0.40294736842105267,original_image_pixels,bicycle,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,950,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,tiny,1,,0.525511495020498,0.19860191970236524,0.9136803557415643,0.4193826837562124,original_image_pixels,person,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,3823,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,tiny,2,,0.7517305306816575,0.35633064446763174,0.9341408024224073,0.5028009084027252,original_image_pixels,car,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,2642,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,tiny,3,,0.2372736801771851,0.10521014525219315,0.7878787878787878,0.36363636363636365,original_image_pixels,bus,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,33,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,tiny,4,,0.2237745618752059,0.11589352661737573,0.8111111111111111,0.4222222222222222,original_image_pixels,truck,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,90,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,tiny,5,,0.35599177778461727,0.1277885366567662,0.9095528455284553,0.434349593495935,original_image_pixels,motorcycle,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,984,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,tiny,6,,0.04412564593700453,0.013591491543512453,0.7477876106194691,0.34070796460176994,original_image_pixels,bicycle,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,226,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,small,1,,0.7324446945202706,0.3396147021218962,0.9352537722908093,0.5027160493827161,original_image_pixels,person,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,3645,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,small,2,,0.8877389837276601,0.5536049853988567,0.9803777287220996,0.6554574441991661,original_image_pixels,car,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,4077,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,small,3,,0.5806662096194026,0.38245111783076574,0.8734177215189873,0.5873417721518988,original_image_pixels,bus,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,79,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,small,4,,0.33050477567982267,0.1807366102570711,0.868020304568528,0.49847715736040615,original_image_pixels,truck,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,197,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,small,5,,0.5468799188865427,0.2453409520398037,0.9382573571840739,0.5023081361800347,original_image_pixels,motorcycle,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,1733,548,3000
