model,resolution,protocol,size,row_type,condition,baseline_condition,baseline_map50_95,complete,expected_conditions,map50_95,map50_95_drop,map50_95_drop_percentage_points,map50_95_relative_drop,map50_95_retention,n_conditions,observed_partial_map50_95,worst_condition
leaf_yolo_n_external,640,common6,all,condition,CLEAN,S1T1,0.2710341785312663,True,1,0.27131277243731516,-0.0002785939060488407,-0.02785939060488407,-0.0010278921557367315,1.0010278921557367,1,,
leaf_yolo_n_external,640,common6,all,condition,S1T1,S1T1,0.2710341785312663,True,1,0.2710341785312663,0.0,0.0,0.0,1.0,1,,
leaf_yolo_n_external,640,common6,all,condition,S1T2,S1T1,0.2710341785312663,True,1,0.23617113047770813,0.03486304805355819,3.4863048053558194,0.12862971099246956,0.8713702890075304,1,,
leaf_yolo_n_external,640,common6,all,condition,S1T3,S1T1,0.2710341785312663,True,1,0.08353214906555659,0.18750202946570974,18.750202946570973,0.6918021575056801,0.30819784249431986,1,,
leaf_yolo_n_external,640,common6,all,condition,S2T1,S1T1,0.2710341785312663,True,1,0.2081640711679542,0.06287010736331211,6.2870107363312115,0.2319637608216244,0.7680362391783756,1,,
leaf_yolo_n_external,640,common6,all,condition,S2T2,S1T1,0.2710341785312663,True,1,0.17578196696553602,0.0952522115657303,9.52522115657303,0.3514398519105666,0.6485601480894334,1,,
leaf_yolo_n_external,640,common6,all,condition,S2T3,S1T1,0.2710341785312663,True,1,0.06005184579710759,0.21098233273415873,21.09823327341587,0.7784344169339512,0.2215655830660488,1,,
leaf_yolo_n_external,640,common6,all,condition,S3T1,S1T1,0.2710341785312663,True,1,0.23341697719471466,0.037617201336551664,3.7617201336551664,0.13879135664881526,0.8612086433511847,1,,
leaf_yolo_n_external,640,common6,all,condition,S3T2,S1T1,0.2710341785312663,True,1,0.2036949772593283,0.06733920127193802,6.733920127193802,0.24845280265702652,0.7515471973429735,1,,
leaf_yolo_n_external,640,common6,all,condition,S3T3,S1T1,0.2710341785312663,True,1,0.06052811635772348,0.21050606217354284,21.050606217354286,0.7766771826131847,0.22332281738681528,1,,
