model,condition,mAP50,mAP50_95,time_per_image
YOLOv8n,S1T1,0.0045,0.0018,0.0213
YOLOv8n,S1T2,0.0037,0.0015,0.0211
YOLOv8n,S1T3,0.0043,0.002,0.0215
YOLOv8n,S2T1,0.0047,0.0017,0.0226
YOLOv8n,S2T2,0.0027,0.0012,0.0234
YOLOv8n,S2T3,0.0044,0.0019,0.0222
YOLOv8n,S3T1,0.0033,0.0017,0.0229
YOLOv8n,S3T2,0.0025,0.0012,0.0256
YOLOv8n,S3T3,0.0035,0.0015,0.0286
YOLOv8s,S1T1,0.0038,0.0016,0.0561
YOLOv8s,S1T2,0.0037,0.0015,0.0589
YOLOv8s,S1T3,0.004,0.0016,0.0514
YOLOv8s,S2T1,0.0046,0.0018,0.0451
YOLOv8s,S2T2,0.0046,0.0017,0.0457
YOLOv8s,S2T3,0.004,0.0015,0.0458
YOLOv8s,S3T1,0.0037,0.0015,0.0447
YOLOv8s,S3T2,0.0033,0.0015,0.0446
YOLOv8s,S3T3,0.0043,0.0019,0.0445
YOLOv8m,S1T1,0.0021,0.0007,0.0953
YOLOv8m,S1T2,0.002,0.0008,0.0973
YOLOv8m,S1T3,0.0024,0.001,0.097
YOLOv8m,S2T1,0.0022,0.0007,0.0962
YOLOv8m,S2T2,0.0022,0.0009,0.0957
YOLOv8m,S2T3,0.0023,0.001,0.098
YOLOv8m,S3T1,0.0029,0.0012,0.0984
YOLOv8m,S3T2,0.0025,0.001,0.099
YOLOv8m,S3T3,0.0036,0.0015,0.0978
YOLOv8l,S1T1,0.0044,0.0017,0.1752
YOLOv8l,S1T2,0.004,0.0016,0.1773
YOLOv8l,S1T3,0.0043,0.0018,0.1758
YOLOv8l,S2T1,0.0038,0.0015,0.1771
YOLOv8l,S2T2,0.004,0.0015,0.1739
YOLOv8l,S2T3,0.004,0.0015,0.1746
YOLOv8l,S3T1,0.0046,0.0019,0.1732
YOLOv8l,S3T2,0.0052,0.0022,0.1783
YOLOv8l,S3T3,0.0049,0.0019,0.1764
