Class_ID,Class_Name,mAP50,mAP50-95,Execution_Device,Total_Time_Sec,Max_VRAM_MB
0,pedestrian,0.1121,0.0463,NVIDIA GeForce RTX 4060 Laptop GPU,43.32,0.0
1,person,0.0479,0.0132,NVIDIA GeForce RTX 4060 Laptop GPU,43.32,0.0
2,car,0.3683,0.2204,NVIDIA GeForce RTX 4060 Laptop GPU,43.32,0.0
3,van,0.0,0.0,NVIDIA GeForce RTX 4060 Laptop GPU,43.32,0.0
4,bus,0.0175,0.0102,NVIDIA GeForce RTX 4060 Laptop GPU,43.32,0.0
5,truck,0.0444,0.0298,NVIDIA GeForce RTX 4060 Laptop GPU,43.32,0.0
6,motor,0.0054,0.0026,NVIDIA GeForce RTX 4060 Laptop GPU,43.32,0.0
7,bicycle,0.0,0.0,NVIDIA GeForce RTX 4060 Laptop GPU,43.32,0.0
8,awning-tricycle,0.0,0.0,NVIDIA GeForce RTX 4060 Laptop GPU,43.32,0.0
9,tricycle,0.0088,0.004,NVIDIA GeForce RTX 4060 Laptop GPU,43.32,0.0
