Model,Condition,mAP50,mAP50-95,GPU_Hardware,Total_Time(s),Avg_Latency(ms),Avg_CPU(%),Avg_GPU(%),Max_VRAM(MB)
YOLOv8n,S1T1,0.0158,0.0069,NVIDIA GeForce RTX 4060 Laptop GPU,38.75,70.71,4.14,0.0,0.0
YOLOv8n,S1T2,0.0142,0.006,NVIDIA GeForce RTX 4060 Laptop GPU,63.4,115.69,5.25,0.0,0.0
YOLOv8n,S1T3,0.0053,0.0021,NVIDIA GeForce RTX 4060 Laptop GPU,71.07,129.7,4.62,0.0,0.0
YOLOv8n,S2T1,0.0129,0.0054,NVIDIA GeForce RTX 4060 Laptop GPU,40.37,73.66,3.66,0.0,0.0
YOLOv8n,S2T2,0.0108,0.0046,NVIDIA GeForce RTX 4060 Laptop GPU,42.87,78.23,3.23,0.0,0.0
YOLOv8n,S2T3,0.0044,0.0019,NVIDIA GeForce RTX 4060 Laptop GPU,37.12,67.74,3.86,0.0,0.0
YOLOv8n,S3T1,0.0134,0.006,NVIDIA GeForce RTX 4060 Laptop GPU,62.99,114.95,4.84,0.0,0.0
YOLOv8n,S3T2,0.0122,0.0054,NVIDIA GeForce RTX 4060 Laptop GPU,42.64,77.81,3.96,0.0,0.0
YOLOv8n,S3T3,0.0047,0.0021,NVIDIA GeForce RTX 4060 Laptop GPU,44.73,81.63,3.4,0.0,0.0
YOLOv8s,S1T1,0.0242,0.0109,NVIDIA GeForce RTX 4060 Laptop GPU,38.07,69.46,3.33,0.0,0.0
YOLOv8s,S1T2,0.0201,0.0088,NVIDIA GeForce RTX 4060 Laptop GPU,36.22,66.09,3.21,0.0,0.0
YOLOv8s,S1T3,0.0071,0.0027,NVIDIA GeForce RTX 4060 Laptop GPU,34.93,63.74,3.09,0.0,0.0
YOLOv8s,S2T1,0.0209,0.0091,NVIDIA GeForce RTX 4060 Laptop GPU,35.05,63.95,3.04,0.0,0.0
YOLOv8s,S2T2,0.0166,0.0073,NVIDIA GeForce RTX 4060 Laptop GPU,34.84,63.58,3.12,0.0,0.0
YOLOv8s,S2T3,0.005,0.002,NVIDIA GeForce RTX 4060 Laptop GPU,35.05,63.96,3.14,0.0,0.0
YOLOv8s,S3T1,0.0206,0.0094,NVIDIA GeForce RTX 4060 Laptop GPU,35.16,64.16,3.28,0.0,0.0
YOLOv8s,S3T2,0.0174,0.0077,NVIDIA GeForce RTX 4060 Laptop GPU,35.58,64.93,3.86,0.0,0.0
YOLOv8s,S3T3,0.0062,0.0025,NVIDIA GeForce RTX 4060 Laptop GPU,44.92,81.97,4.01,0.0,0.0
