Model,Condition,Class_ID,Class_Name,mAP50,mAP50-95,Total_GTs
yolov8n,S1T1,0,person,0.1068,0.0662,13969
yolov8n,S1T1,1,car,0.2981,0.1848,15351
yolov8n,S1T1,2,bus,0.0017,0.001,1975
yolov8n,S1T1,3,truck,0.0327,0.0203,750
yolov8n,S1T1,4,motorcycle,0.0006,0.0004,1296
yolov8n,S1T1,5,bicycle,0.0002,0.0001,5418
yolov8n,S1T2,0,person,0.0883,0.0547,13969
yolov8n,S1T2,1,car,0.2788,0.1729,15351
yolov8n,S1T2,2,bus,0.0011,0.0007,1975
yolov8n,S1T2,3,truck,0.0231,0.0143,750
yolov8n,S1T2,4,motorcycle,0.0004,0.0002,1296
yolov8n,S1T2,5,bicycle,0.0003,0.0002,5418
yolov8n,S1T3,0,person,0.0222,0.0138,13969
yolov8n,S1T3,1,car,0.1533,0.0951,15351
yolov8n,S1T3,2,bus,0.0001,0.0001,1975
yolov8n,S1T3,3,truck,0.0103,0.0064,750
yolov8n,S1T3,4,motorcycle,0.0,0.0,1296
yolov8n,S1T3,5,bicycle,0.0001,0.0001,5418
yolov8n,S2T1,0,person,0.0787,0.0488,13969
yolov8n,S2T1,1,car,0.2497,0.1548,15351
yolov8n,S2T1,2,bus,0.0015,0.0009,1975
yolov8n,S2T1,3,truck,0.0235,0.0146,750
yolov8n,S2T1,4,motorcycle,0.0002,0.0001,1296
yolov8n,S2T1,5,bicycle,0.0002,0.0001,5418
yolov8n,S2T2,0,person,0.0618,0.0383,13969
yolov8n,S2T2,1,car,0.2284,0.1416,15351
yolov8n,S2T2,2,bus,0.001,0.0006,1975
yolov8n,S2T2,3,truck,0.0185,0.0115,750
yolov8n,S2T2,4,motorcycle,0.0001,0.0001,1296
yolov8n,S2T2,5,bicycle,0.0001,0.0001,5418
yolov8n,S2T3,0,person,0.0151,0.0093,13969
yolov8n,S2T3,1,car,0.092,0.057,15351
yolov8n,S2T3,2,bus,0.0,0.0,1975
yolov8n,S2T3,3,truck,0.0039,0.0024,750
yolov8n,S2T3,4,motorcycle,0.0,0.0,1296
yolov8n,S2T3,5,bicycle,0.0,0.0,5418
yolov8n,S3T1,0,person,0.0875,0.0543,13969
yolov8n,S3T1,1,car,0.2723,0.1688,15351
yolov8n,S3T1,2,bus,0.002,0.0013,1975
yolov8n,S3T1,3,truck,0.0267,0.0166,750
yolov8n,S3T1,4,motorcycle,0.0004,0.0003,1296
yolov8n,S3T1,5,bicycle,0.0,0.0,5418
yolov8n,S3T2,0,person,0.0749,0.0464,13969
yolov8n,S3T2,1,car,0.2529,0.1568,15351
yolov8n,S3T2,2,bus,0.001,0.0006,1975
yolov8n,S3T2,3,truck,0.0218,0.0135,750
yolov8n,S3T2,4,motorcycle,0.0005,0.0003,1296
yolov8n,S3T2,5,bicycle,0.0,0.0,5418
yolov8n,S3T3,0,person,0.0181,0.0112,13969
yolov8n,S3T3,1,car,0.1188,0.0737,15351
yolov8n,S3T3,2,bus,0.0006,0.0004,1975
yolov8n,S3T3,3,truck,0.0062,0.0038,750
yolov8n,S3T3,4,motorcycle,0.0001,0.0,1296
yolov8n,S3T3,5,bicycle,0.0002,0.0001,5418
yolov8s,S1T1,0,person,0.1745,0.1082,13969
yolov8s,S1T1,1,car,0.3816,0.2366,15351
yolov8s,S1T1,2,bus,0.001,0.0006,1975
yolov8s,S1T1,3,truck,0.0873,0.0541,750
yolov8s,S1T1,4,motorcycle,0.0043,0.0027,1296
yolov8s,S1T1,5,bicycle,0.0016,0.001,5418
yolov8s,S1T2,0,person,0.133,0.0825,13969
yolov8s,S1T2,1,car,0.3453,0.2141,15351
yolov8s,S1T2,2,bus,0.0014,0.0008,1975
yolov8s,S1T2,3,truck,0.0586,0.0363,750
yolov8s,S1T2,4,motorcycle,0.003,0.0019,1296
yolov8s,S1T2,5,bicycle,0.0016,0.001,5418
yolov8s,S1T3,0,person,0.0333,0.0206,13969
yolov8s,S1T3,1,car,0.1999,0.1239,15351
yolov8s,S1T3,2,bus,0.0005,0.0003,1975
yolov8s,S1T3,3,truck,0.0145,0.009,750
yolov8s,S1T3,4,motorcycle,0.0023,0.0014,1296
yolov8s,S1T3,5,bicycle,0.0001,0.0001,5418
yolov8s,S2T1,0,person,0.1403,0.087,13969
yolov8s,S2T1,1,car,0.3274,0.203,15351
yolov8s,S2T1,2,bus,0.0028,0.0017,1975
yolov8s,S2T1,3,truck,0.0475,0.0295,750
yolov8s,S2T1,4,motorcycle,0.002,0.0013,1296
yolov8s,S2T1,5,bicycle,0.0021,0.0013,5418
yolov8s,S2T2,0,person,0.104,0.0645,13969
yolov8s,S2T2,1,car,0.291,0.1804,15351
yolov8s,S2T2,2,bus,0.0015,0.0009,1975
yolov8s,S2T2,3,truck,0.029,0.018,750
yolov8s,S2T2,4,motorcycle,0.0006,0.0004,1296
yolov8s,S2T2,5,bicycle,0.001,0.0006,5418
yolov8s,S2T3,0,person,0.021,0.013,13969
yolov8s,S2T3,1,car,0.1368,0.0848,15351
yolov8s,S2T3,2,bus,0.0002,0.0002,1975
yolov8s,S2T3,3,truck,0.0065,0.004,750
yolov8s,S2T3,4,motorcycle,0.0006,0.0003,1296
yolov8s,S2T3,5,bicycle,0.0,0.0,5418
yolov8s,S3T1,0,person,0.1442,0.0894,13969
yolov8s,S3T1,1,car,0.3558,0.2206,15351
yolov8s,S3T1,2,bus,0.0008,0.0005,1975
yolov8s,S3T1,3,truck,0.0691,0.0428,750
yolov8s,S3T1,4,motorcycle,0.0044,0.0028,1296
yolov8s,S3T1,5,bicycle,0.0011,0.0007,5418
yolov8s,S3T2,0,person,0.1105,0.0685,13969
yolov8s,S3T2,1,car,0.3198,0.1983,15351
yolov8s,S3T2,2,bus,0.0002,0.0001,1975
yolov8s,S3T2,3,truck,0.0555,0.0344,750
yolov8s,S3T2,4,motorcycle,0.0027,0.0017,1296
